date,state,city,weather,light,visibility,fatalities,primary_cause,type,pilot_age,total_hours_model_flown,hours_model_flown_90_days,hours_flown_90_days,total_hours_flown,pilot_certification,engines,aircraft_make,aircraft_model,hours_airframe,remarks
7/1/1978,CA,OAKLAND,Hurricane,Night,Greater than 10 miles,null,null,Gear Collapse,44,30,null,null,500,null,1,PIPER,PA28140,null,LEFT MAIN FAILED DURING THE LANDING ROLL. LOWER PORTION OF THE TORQUE LINK ASSEMBLY HAD BROKEN. PN 78033-00.
1/15/1979,FL,DESTIN,Light Snow,Day,Greater than 10 miles,null,Improper Operation of Flight Controls in Air,Hard Landing,40,12,4,7,84,null,1,CESSNA,172,1455,AIRCRAFT PORPOISED AFTER HARD LANDING - CAUSING NOSE TIRE FAILURE AND PROP STRIKING RUNWAY.
3/7/1979,IL,WEST CHICAGO,Light Snow,Night,Less than 1 mile,null,Aircraft Improperly Aligned With Runway,Collision With Runway/Approach Lights,55,400,null,null,1400,null,2,PIPER,PA23250,null,DURING LANDING AIRCRAFT TOUCHED DOWN LEFT OF CENTER AND STRUCK LANDING LIGHT.
11/24/1978,CA,CARLSBAD,Hurricane,Day,5,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,51,900,null,null,1600,null,1,CESSNA,210,null,PILOT LOST DIRECTIONAL CONTROL ON ROLLOUT ON WET RUNWAY WITH CROSSWIND.
12/7/1978,FL,DELAND,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Airport Hazard,51,250,null,null,1000,null,null,TCRAFK,DC65,null,PILOT ON TAXIWAY WHICH WAS UNDER CONSTRUCTION AND HEADED INTO LOW SUN. HIT A SIGN PLACED ON TAXIWAY CENTER.
12/25/1978,OK,BROKEN BOW,Hurricane,Day,Greater than 10 miles,null,null,Gear Collapse,38,36,null,null,226,null,1,PIPER,PA32260,null,"PILOT HEARD UNUSUAL NOISE AT LIFT OFF. ON LANDING, NOSE GEAR AND LEFT MAIN FOLDED. TORQUE LINK BOLT MISSING."
4/17/1979,WI,WEST BEND,Hurricane,Day,Greater than 10 miles,null,Miscellaneous Unsafe Actions - Starting Engine,Collision With Other Buildings,51,600,null,null,600,null,1,CESSNA,210,null,"PILOT PULLED THROUGH BY HAND BEFORE START, ON SECOND PULL IT STARTED,AIRPLANE GOT AWAY, HIT CEMENT BUILDING."
8/9/1978,AK,CHANDALAR LAKE,Hurricane,Day,null,null,null,null,37,null,null,null,null,null,1,PIPER,PA22,null,LANDING STRIP WAS A CLEARED RIVER GRAVEL BAR.
6/5/1978,WV,BUCKHANNON,Hurricane,Day,Greater than 10 miles,null,null,Loss of Directional Control - Ground Loop,60,250,null,null,1700,null,2,CESSNA,337,null,"LEFT MAIN TIRE BLEW OUT IN ROLLOUT, PLANE OFF SIDE OF RUNWAY. A LARGE STAPLE WAS FOUND IN THE TIRE TREAD."
9/4/1978,OK,PONCA CITY,Hurricane,Day,null,null,null,Loss of Directional Control - Ground Loop,26,5,null,null,645,null,1,CHILD,S1SPITTS,null,TAIL GEAR ATTACH BOLT BROKE ON ROLL OUT. AIRCRAFT GROUND LOOPED.
11/7/1979,MN,GRAND RAPIDS,Light Snow,Day,2,null,Improper Level Off,Hard Landing,26,166,88,126,2394,null,2,CESSNA,340,564,LEVELED OFF TOO HIGH. AIRCRAFT STALLED. MADE HARD LANDING. BUCKLED WINGS. ICE ON AIRCRAFT.
10/31/1978,CO,GRAND JUNCTION,Wind,Day,null,null,Poor Preflight Plan - Fuel Quantity,Forced Landing,38,50,null,null,650,null,1,CESSNA,T210M,null,PILOT RELIED ON FUEL GAUGE WHICH SHOWED 200 LBS FOR 30 MINUTE TEST FLIGHT. RAN OUT OF FUEL ON FINAL.
9/1/1979,OR,AURORA,Hurricane,Day,null,null,null,Forced Landing,30,25,null,null,260,null,1,PIPER,PA28R180,null,FORCED LANDING AFTER LOSS OF OIL PRESSURE. FOUND CRACKED PROP GOVERNOR OIL LINE.
11/2/1978,NE,ELGIN,Hurricane,Day,Greater than 10 miles,null,null,Collision With Other,31,350,null,null,2000,null,1,PIPER,PA18,null,"WING STRUCK CONSTRUCTION EQUIPMENT DUE TO LOSS OF LEFT BRAKE. BRAKE PEDAL WAS BENT, RESTRICTING TRAVEL."
1/1/1979,MO,KANSAS CITY,Hurricane,Day,7,null,Undetermined,Gear Collapse,46,700,null,null,7000,null,2,PIPER,PA23160,null,AIRCRAFT HEAVILY LOADED. ENGINE LOST POWER AT 50 FEET ON TAKEOFF. PILOT LANDED IN DEEP SNOW BESIDE RUNWAY.
2/23/1979,NJ,BURLINGTON,Light Snow,Night,Less than 1 mile,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,27,310,null,null,1485,null,2,PIPER,PA23250,null,PROBABLE HYDROPLANING CAUSED LOSS OF DIRECTIONAL CONTROL. STANDING WATER ON RUNWAY. PARTIAL FLAP LANDING.
5/22/1979,MN,GRAND MARAIS,Hurricane,Day,1,2,Poor Preflight Planning - Weather Conditions,Collision With Trees,47,null,null,null,200,null,1,CESSNA,172,697,VFR PILOT FLEW INTO AREA OF LOW CLOUDS AND LOW VISIBILITY. HIT TREES ATTEMPTING TO REVERSE COURSE.
10/22/1979,MO,CHESTERFIELD,null,Night,7,null,null,Gear Collapse,61,100,null,null,300,null,null,PIPER,PA28/,2802,"PILOT NOT ABLE TO GET A SAFE INDICATION FOR ONE OF THE MAINS, IT COLLAPSED. DOWNLOCK OPERATIONAL AFTER CLEANING."
11/25/1979,VA,LOCUST GROVE,Hurricane,Night,8,null,Continued VFR Flight Into Adverse Weather Conditions,Uncontrollable Collision With Ground,42,null,null,null,600,null,1,PIPER,PA22150,1407,PILOT PROCEEDED INTO DETERIORATING WEATHER. UNCONTROLLED CRASH. NO INSTRUMENT RATING.
8/12/1979,AK,LAKE CREEK,Hurricane,Dusk,Greater than 10 miles,null,Unsafe Acts By Third Party,Collision With Other,40,750,35,35,1437,null,1,PIPER,PA12,2574,MADE DUSK TAKEOFF. WING STRUCK PERSON STANDING IN TAKEOFF PATH TAKING PICTURE OF OPERATION. UNKNOWN BY PILOT.
11/2/1979,CO,DENVER,Light Snow,Day,null,null,null,Airframe Failure - In Flight,29,320,null,null,5600,null,2,BEECH,100,null,"#2 LEFT CABIN WINDOW BROKE OUT CAUSING RAPID DECOMPRESSION. PILOT PROCEEDED VFR, LANDED SAFELY."
10/21/1978,TX,HOUSTON,Hurricane,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,30,10,null,null,700,null,1,BEECH,F35,null,PILOT FAILED TO EXTEND THE LANDING GEAR BEFORE TOUCHDOWN.
4/19/1979,FL,ARCADIA,Light Snow,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,32,400,null,null,1500,null,null,PIPER,PA28/,null,GEAR SHEARED OFF BY HITTING TREE STUMP DURING TAKEOFF FROM PRIVATE FIELD.
12/9/1978,LA,NEW ORLEANS,Light Snow,Day,Greater than 10 miles,null,null,System Malfunction or Failure,56,3396,null,null,17451,null,2,BAC,111212,null,RIGHT REVERSER SEPARATED DURING REVERSAL. IT HAD BEEN IMPROPERLY INSTALLED.
11/8/1979,DC,WASHINGTON,Light Snow,Night,Greater than 10 miles,null,Extended Gear Too Late,Wheels - Up Landing,46,802,22,22,1189,null,2,BEECH,9555,4240,PILOT BECAME DISTRACTED CHANGING RUNWAYS. ACTIVATED GEAR DOWN ON SHORT FINAL. GEAR NOT FULLY DOWN ON LANDING.
10/21/1978,WI,WAUSAU,Hurricane,Day,Greater than 10 miles,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,24,4,null,null,500,null,2,CESSNA,337,null,"PILOT WITH 4 HOURS IN TYPE INTENDED TO RETRACT FLAPS AFTER TOUCHDOWN, LIFTED THE WRONG SWITCH."
4/29/1979,AK,ILIAMNA,Hurricane,Day,Greater than 10 miles,null,Failed to Correct for Drift,Collision With Other,45,800,30,30,1300,null,1,PIPER,PA12,3210,PILOT ALLOWED ACFT TO DRIFT OFF RUNWAY ALIGNMENT ON LIFTOFF. STRUCK VASI LIGHTS AND BRUSH.
12/12/1978,NY,BINGHAMTON,Light Snow,Day,10,null,null,Airframe Failure - In Flight,31,400,null,null,6000,null,2,AMD,FALCON,null,"WHILE ON CLIMBOUT, CO-PILOT'S INNER WINDSHIELD CRACKED."
9/2/1979,VA,TROUTDALE,Hurricane,Day,Less than 1 mile,null,Insufficient Terrain Clearance in Route,Controllable Collision With Ground,42,null,null,null,987,null,1,MOONEY,M20F,618,PILOT ATTEMPTED TO MAINTAIN VFR IN IFR WEATHER CONDITIONS. FLEW INTO A FOG-COVERED MOUNTAIN.
12/12/1978,CT,HARTFORD,Hurricane,Day,10,null,Improper Operation of Flight Controls in Air,Hard Landing,58,12,null,null,4500,null,1,CESSNA,305,null,PILOT MADE HARD LANDING IN A LIGHT CROSSWIND.
4/20/1979,CO,DENVER,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Nose Up or Over,42,24,null,null,1400,null,1,MAULE,M5235C,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN.
3/10/1979,NC,OXFORD,Hurricane,null,4,null,Failed to Avoid Objects or Obstructions,Collision With Other,35,150,23,23,2343,null,1,GULSTM,AA5,1660,PILOT MADE TAKE OFF ON ROAD DRIFTED OFF CENTER LINE ON CLIMB OUT. WING STRUCK MAILBOX.
1/24/1979,FL,ST AUGUSTINE,Hurricane,Day,null,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Drag Wingtip,52,350,null,null,650,null,1,CESSNA,172,null,"PILOT LANDED IN GUSTY WIND, WENT UP ON A WINGTIP DURING THE ROLLOUT."
6/9/1979,AZ,WINSLOW,Hurricane,Day,Greater than 10 miles,null,Delayed in Initiating Go-around,Stall,65,30,29,45,550,null,1,CESSNA,172,1356,"PILOT LINED UP WITH WRONG RUNWAY.ON ATTEMPTED GO AROUND, HE LOST CONTROL AND CRASHED."
10/27/1979,null,null,Unknown,Day,null,null,Undetermined,Missing Aircraft,41,null,null,null,6000,null,2,PIPER,PA23250,2700,"AIRPLANE BECAME MISSING BETWEEN JAMAICA AND NASSAU, BAHAMAS. DAY VFR IN AREA."
2/5/1979,AZ,PHOENIX,Hurricane,Night,null,null,Failed to Avoid Objects or Obstructions,Collision With Airport Hazard,47,800,null,null,3800,null,1,CESSNA,172,null,AIRCRAFT TAXIED INTO DROP-OFF AT NIGHT.
3/7/1978,CA,WHITTIER,Light Snow,Day,Greater than 10 miles,null,Pilot Incapacitated (Excludes Alcohol),Other/Miscellaneous,35,558,null,null,6100,null,1,BELL,206,null,PILOT MADE A SUCCESSFUL EMERGENCY LANDING FIVE MINUTES SHORT OF DESTINATION DUE TO NAUSEA.
3/25/1978,OK,PONDCREEK,Tornado,Day,null,null,Other/Miscellaneous,Other/Miscellaneous,36,500,null,null,15000,null,1,HUGHES,269,null,"SPRAY BOOM BRACE BROKE, ALLOWING BOOM TO HANG DOWN. BOOM FLEXED UP ON LANDING, CAUSING DAMAGE TO THE MAIN ROTOR."
6/4/1978,SC,ISLE OF PALMS,Hurricane,Day,null,null,Improper Level Off,Hard Landing,31,60,null,null,60,null,1,GULSTM,AA5B,null,"PILOT STATED HE HIT A CHUCK HOLE AFTER LANDING, MADE A GO AROUND. PROP TIPS WERE CURLED SLIGHTLY."
2/18/1978,CA,FRESNO,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,null,null,null,null,null,null,1,BEECH,V35B,null,PILOT TAXIING FOR FUEL RAN INTO A PORTABLE HELIPAD.
10/22/1978,IL,HILLSBORO,Heavy Freezing Rain,Day,null,1,null,Other/Miscellaneous,19,null,null,null,200,null,1,CESSNA,182,null,JUMPERS MAIN CHUTE DEPLOYED BUT DID NOT OPEN. WAS UNABLE TO DEPLOY THE RESERVE CHUTE.
1/29/1979,TX,EL PASO,Hurricane,Day,null,null,Inadvertant Retrieval of Landing Gear,Gear Collapse,66,988,37,37,null,null,1,CESSNA,210,1816,MAIN LANDING GEAR COLLAPSED AFTER LANDING. NOTHING FOUND WRONG WITH THE LANDING GEAR SYSTEM AFTER THE ACCIDENT.
12/21/1979,WI,GREEN BAY,Hurricane,Night,Less than 1 mile,2,Improper Instruction and Procedure - Takeoff and Landing,Collision With Trees,35,70,1,1,1632,null,2,CESSNA,310,973,STRUCK TREES ON ILS APPROACH A HALF MILE RIGHT OF RUNWAY. WEATHER BELOW APPROACH MINAMUMS.
3/1/1979,CO,DENVER,Hurricane,Night,5,null,null,System Malfunction or Failure,49,2000,null,null,2500,null,1,BEECH,B35,null,RADIOS AND LIGHTS FAILED DUE TO WORN BRUSHES IN ALTERNATOR.
12/2/1978,MN,ELBOW LAKE,null,Day,Greater than 10 miles,null,null,Forced Landing,45,58,null,null,58,null,1,CESSNA,172,25,"JUST AFTER ROTATION, ENGINE BEGAN TO MISFIRE & THEN QUIT. STUDENT LANDED IN FIELD."
8/29/1979,CA,SCOTTS VALLEY,Hurricane,Unknown,null,null,Operational Gear Control Failed,Wheels - Up Landing,56,null,null,null,null,null,2,CESSNA,337,null,PILOT FORGOT TO EXTEND GEAR BEFORE LANDING.
12/14/1978,CA,SAN DIEGO,null,Day,null,null,Miscellaneous Unsafe Actions - Starting Engine,Fire or Explosion - On Ground,20,1,null,null,41,null,1,PIPER,PA28140,null,STUDENT PILOT OVERPRIMED ENGINE START CAUSING ENGINE FIRE.
6/28/1978,WV,CHARLESTON,Hurricane,Day,9,null,null,Gear Collapse,47,1500,null,null,4187,null,2,BEECH,58,null,NOSE PITCHED DOWNWARD DURING ROLLOUT DUE TO BROKEN NOSE GEAR ACTUATOR ARM.
5/4/1978,OK,OKLAHOMA CITY,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,null,1,null,null,80,null,1,PIPER,PA28140,null,HARD LANDING DAMAGED PROP AND NOSE GEAR.
10/21/1978,MI,PLYMOUTH,null,Day,Greater than 10 miles,null,Unsafe Acts By Third Party,Midair Collisions (Both in Flight),52,500,null,null,2200,null,1,CESSNA,152,null,BOTH PILOTS REPORTED ON CONGESTED UNICOM. THIS AIRCRAFT WAS OVERTAKEN AND HIT BY A PA24 ON FINAL.
2/3/1979,KS,LAKE POMONA,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,29,34,null,null,51,null,1,PIPER,PA28140,null,AIRCRAFT ON FINAL APPROACH STRUCK PARKED AIRCRAFT ON END OF RUNWAY.
7/22/1979,CA,ANTIOCH,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Collision With Fences and Posts,36,5,null,null,193,null,1,PIPER,PA18150,null,PILOT LOST DIRECTIONAL CONTROL WHEN HIS BOOT LODGED IN THE LEFT RUDDER PEDAL.
5/28/1978,IN,SYRACUSE,Hurricane,Day,6,null,Landing Far Down / Land Area Overshot,Overshoot Landing,57,420,null,null,1369,null,1,MOONEY,M20F,null,"PILOT LANDED LONG. OVERRAN RUNWAY END, ACROSS ROAD AND THROUGH A FENCE."
6/7/1979,VA,WOODBRIDGE,Hurricane,Day,4,2,Failed to Avoid Ground or Water Collision,Uncontrollable Collision With Ground,33,30,10,11,164,null,1,BEECH,C24R,308,AIRCRAFT CRASHED AND BURNED DURING ATTEMPTED GO AROUND AFTER ABORTED LANDING. THREE FATAL.
2/25/1979,CA,BORREGO SPRINGS,Hurricane,Day,Greater than 10 miles,null,Unsafe Conditions and Failed to Mark Obstruction,Collision With Airport Hazard,42,50,null,null,1100,null,1,CHILD,S2APITTS,null,WHILE MAKING S TURNS TAXIING ON RUNWAY. WING STRUCK PIECES OF STEEL LEFT ON TAXIWAY BY CONTRACTOR.
2/3/1979,WI,WAUSAU,null,Day,8,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,29,10,null,null,10,null,1,GULSTM,AA5A,null,"PILOT LOST DIRECTIONAL CONTROL ON TAKEOFF, STRUCK SNOW BANK ON SIDE OF RUNWAY."
10/11/1979,OK,YUKON,Hurricane,Day,null,null,null,Engine Malfunction,35,60,null,null,680,null,1,CESSNA,TU206F,null,"ENGINE STOPPED IN FLIGHT, CAUSE NOT KNOWN.FUEL INJECTOR SYSTEM SUSPECTED."
8/13/1978,TX,HUNTSVILLE,null,Day,Greater than 10 miles,null,Failed to Avoid Objects or Obstructions,Collision With Airport Hazard,35,32,null,null,32,null,1,PIPER,PA28140,null,PILOT LANDED ON PORTION OF RUNWAY UNDER CONSTRUCTION. LANDING GEAR DAMAGED.
11/25/1978,FL,PENSACOLA,Hurricane,Day,7,null,Improper Level Off,Hard Landing,49,7,null,null,1075,null,2,PIPER,PA34200T,null,"AS NOSE WHEEL TOUCHED DOWN AFTER LANDING IT CAUSED VIOLENT DIG IN REACTION. BECAME AIRBORN, CAME DOWN HARD."
8/16/1979,MI,MANCHESTER,Hurricane,Day,Greater than 10 miles,null,null,Uncontrollable Collision With Ground,60,60,20,20,2356,null,1,AMTRSA,STITSSA3A,108,ACFT WAS OBSERVED ENGAGED IN ACROBATICS THEN DIVE VERTICALLY INTO GROUND. FOUND LOOSE FABRIC ON TOP OF UPPER WING.
4/10/1979,MI,YPSILANTI,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,28,11,null,null,35,null,1,PIPER,PA28140,null,STUDENT PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN IN A CROSSWIND. ZN.
1/17/1978,TX,TYLER,Light Snow,Night,Greater than 10 miles,null,null,System Malfunction or Failure,24,100,null,null,2650,null,2,RKWELL,680,null,SHUTDOWN OF ENGINE DUE TO RPM AND OIL PRESSURE FLUCTUATIONS. LOST ENGINE DRIVEN HYDRAULIC PUMP. OVERRAN RUNWAY END.
9/14/1979,TN,COLLEGEDALE,Hurricane,Day,null,null,Unsafe Acts By Third Party,Forced Landing,53,250,null,null,560,null,1,CESSNA,182,null,"PILOT LANDED SAFELY IN FIELD DUE TO ROUGH ENGINE, FOUND ALL OIL LOST DUE TO LOOSE FITTING ON ACCESSORY SECTION."
1/10/1978,VA,SOUTH BOSTON,Hurricane,Day,Greater than 10 miles,null,Inadequate Inspection of Aircraft - Preflight,Forced Landing,23,144,null,null,144,null,1,PIPER,PA22150,null,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.
11/21/1979,ID,COLD MEADOWS,Light Snow,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,43,600,null,null,4000,null,1,CESSNA,206,null,"DURING TAKEOFF, AIRCRAFT ENCOUNTERED FROZEN RUTS, VEERED OFF RUNWAY AND HIT SNOW DRIFT. BECAME INVERTED."
7/12/1978,CA,LONG BEACH,null,Day,null,null,null,Other/Miscellaneous,39,50,null,null,103,null,1,PIPER,PA28140,3400,PILOT MAKING TOUCH AND GO LANDINGS. NOSE FORK FAILED WHEN IT CONTACTED THE RUNWAY AFTER NORMAL LANDING.
10/19/1978,TN,HIXSON,Light Snow,Day,null,null,null,Loss of Directional Control - Ground Loop,35,754,null,null,6676,null,null,PIPER,601,null,"MAIN GEAR SCIZZORS BROKEN, PILOT LOST DIRECTIONAL CONTROL WHEN WHEEL TURNED SIDEWAYS."
6/12/1979,CA,CHINO,Hurricane,Day,Greater than 10 miles,null,null,Engine Malfunction,41,200,null,null,3500,null,1,NAMER,P51D,null, ENGINE FAILED INTERNALLY DURING THE TAKEOFF RUN. PILOT UNABLE TO STOP.
3/19/1979,DR,LAVEGA ISLAND,Hurricane,null,null,2,Failed to Avoid Ground or Water Collision,Other/Miscellaneous,27,null,null,null,null,null,1,BEECH,A36,null,AIRCRAFT CRASHED IN THE DOMINICAN REPUBLIC. OWNER OF ACFT STATES FLIGHT OUTSIDE USA WAS NOT AUTHORIZED.
2/12/1979,NM,OROGRANDE,Hurricane,Day,null,null,null,Forced Landing,45,70,null,null,88,null,1,PIPER,PA28180,null,ROUGH ENGINE PRECIPATATED LANDING. OBSOLETE EXHAUST VALVE FAILED.
5/18/1979,WI,EAU CLAIRE,Light Snow,Day,Greater than 10 miles,null,null,Forced Landing,34,30,null,null,489,null,1,MOONEY,M20J,null,ENGINE LOST POWER. UNABLE TO DUPLICATE ENGINE PROBLEM.
12/8/1979,MA,BEDFORD,Hurricane,Day,Greater than 10 miles,null,Taxied/Parked Without Proper Assistance,Blown Over (Wind Only),53,44,3,15,169,null,1,CESSNA,172,3441,WIND BLEW AIRCRAFT OVER DURING TAXI TO PARK. PILOT DEPARTED AND LANDED IN SEVERE SURFACE WIND CONDITION.
2/24/1979,TX,SHERMAN,Hurricane,Night,Greater than 10 miles,null,null,Fire or Explosion - In Flight,50,250,null,null,1500,null,1,CESSNA,172,null,ELECTRICAL FIRE BEHIND INSTRUMENT PANEL. ARCING OF RHEOSTAT FOR INTERIOR LIGHTS.
5/3/1979,MN,HOLLANDALE,Hurricane,Day,Greater than 10 miles,null,Poor Preflight Plan - Fuel Quantity,Forced Landing,23,200,null,null,516,null,1,CESSNA,150,null,NO NARRATIVE AVAILABLE.
7/22/1978,MS,OLIVE BRANCH,null,Night,Greater than 10 miles,null,null,Forced Landing,28,29,null,null,32,null,1,CESSNA,152,null,STUDENT PILOT ON CROSSCOUNTRY. ENGINE STOPPED DURING CLIMB. NO PROBLEMS FOUND.
8/23/1978,AK,ANCHORAGE,Hurricane,Day,Greater than 10 miles,null,Failed to Avoid Objects or Obstructions,Collision With Other,33,400,null,null,4000,null,1,TCRAFT,F19,null,FLOAT PLANE TOUCHED DOWN IN SHALLOW WATER AT LAKE'S EDGE DAMAGING FLOAT.
9/5/1978,CA,LITTLE RIVER,null,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,44,24,null,null,72,null,1,CESSNA,172,null,HARD LANDING DAMAGED NOSE GEAR.
4/4/1979,MA,BOSTON,Light Snow,Day,Greater than 10 miles,null,Pilot/Miscellaneous Unsafe Actions,Jet Blast,32,250,null,null,445,null,1,CESSNA,172,null,"PILOT WAS PASSING BEHIND A LARGE JET. CAPTAIN UNAWARE OF THE LILFHT AIRPLANE APPLIED POWER. DAMAGED PROP, WINGTIP."
6/28/1978,MA,WORCESTER,Light Snow,Day,Greater than 10 miles,null,null,Gear Collapse,49,300,null,null,2600,null,null,PIPER,600,null,DURING ROLLOUT NOSE GEAR COLLAPSED. HOLE IN HYDRAULIC HOSE DUE TO CHAFING.
1/24/1979,CA,SAN JOSE,Light Snow,Day,3,null,null,Engine Malfunction,26,240,null,null,1100,null,2,CESSNA,421,null,"EXHAUST PIPE SEPARATED FROM #6 CYLINDER, BURNED A HOLE IN THE BAFFLE AND LOWER COWL."
4/21/1979,NV,LAS VEGAS,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Nose Up or Over,27,null,null,null,250,null,1,AMTR,KV3,null,PILOT LOST DIRECTIONAL CONTROL DURING A FAST TAXI RUN.
4/21/1979,WI,WAUKESHA,null,Day,10,null,Miscellaneous Unsafe Actions - Starting Engine,Airframe Failure - On Ground,36,300,null,null,1600,null,1,CESSNA,172,null,"ENGINE QUIT AFTER LANDING. PILOT OVER PRIMED BY PUMPING THE THROTTLE DURING RESTART, ENGINE CAUGHT ON FIRE."
9/21/1978,NY,ROCHESTER,null,Day,Greater than 10 miles,null,Misused Mixture Control,Other/Miscellaneous,22,29,null,null,29,null,1,PIPER,PA28140,null,POWER LOSS BY STUDENT ON TAKEOFF. ALL PLUGS LEAD FOULED.
7/6/1978,AZ,WHITERIVER,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,32,700,null,null,2300,null,1,PIPER,PA24,null,PILOT TAXIIED INTO A VEHICLE MOVING IN THE TIE DOWN AREA. HIS VISION WAS OBSCURED BY THE LOW SUN.
12/26/1978,WI,MERCER,Hurricane,Day,Greater than 10 miles,null,null,Forced Landing,39,100,null,null,500,null,1,AMTRWT,TAILWIND,null,ENGINE STOPPED AFTER 15 MIN. OF FLIGHT DUE TO AN ICED UP FUEL VENT.
12/29/1978,CO,DENVER,Hurricane,Day,7,null,Retracted Gear Early on Takeoff,Gear Retrieval,39,150,null,null,750,null,1,CESSNA,210,null,NOSE GEAR COLLAPSED DURING TAKEOFF ROLL. NO SYSTEM MALFUNCTION COULD BE FOUND.
4/17/1978,MN,MINNEAPOLIS,Whirlwind,Day,Greater than 10 miles,null,null,System Malfunction or Failure,31,26,null,null,3120,null,2,PIPER,PA23250,2333,PILOT HAD DIFFICULTY MAINTAINING DIRECTIONAL CONTROL ON ROLLOUT. FOUND BROKEN BOLT IN GEAR SCISSOR.
10/4/1978,FL,KEY LARGO,Hurricane,Day,null,null,null,System Malfunction or Failure,37,380,null,null,16056,null,2,PIPER,PA34200T,null,PILOT ANTICIPATING CRASH WHEN BRAKE FAILED. APPLIED POWER AND FLAPS TO CLEAR OBSTICLE.
8/22/1979,CA,THERMAL,Wind,Day,Greater than 10 miles,1,null,Spin,31,null,null,null,143,null,1,AMTRRA,KR2,null,AMATEUR HOMEBUILT ON FIRST FLIGHT. OBSERVED SPINNING WITH ENGINE OUT BEFORE GROUND IMPACT.
3/25/1979,MN,BRAINERD,null,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,56,38,null,null,38,null,1,CESSNA,150,null,"STUDENT PILOT TOO FAST AT TOUCHDOWN. HIT NOSE FIRST, BOUNCED. NOSE GEAR COLLAPSED."
10/20/1978,CA,SACRAMENTO,Hurricane,Day,null,null,Full to Low Fuel,Forced Landing,34,null,null,null,null,null,1,CESSNA,180,null,PILOT FLEW TO FUEL EXHAUSTION.
10/25/1978,MO,ST LOUIS,Fog,Day,4,null,Miscellaneous Unsafe Actions - Starting Engine,Loss of Directional Control - Ground Loop,28,650,null,null,4350,null,2,LEAR,23,null,PILOT UNABLE TO START SECOND ENGINE TRIED TO DO IT ON A FAST TAXI RUN DOWN THE RUNWAY. LOST CONTROL.
2/13/1979,PA,READING,Light Snow,Day,Greater than 10 miles,null,null,Airframe Failure - In Flight,47,5664,null,null,null,null,2,LEAR,35,null,THRUST REVERSER ASSEMBLY PN45122001 SEPARATED AIRCRAFT ON TAKEOFF.
5/30/1979,TX,PLAINVIEW,Hurricane,Day,Greater than 10 miles,null,null,Fire or Explosion - On Ground,39,75,null,null,11000,null,2,BEECH,H18,null,ABORTED TAKEOFF AFTER ENGINE FIRE. FOUND LEAKING OIL LINE.
4/13/1979,TX,ELIASVILLE,Hurricane,Day,Greater than 10 miles,null,Failed to Maintain Adequate Flying Speed,Stall,46,300,3,3,2280,null,1,PIPER,PA22,1426,AIRCRAFT DEPARTED A PASTURE. STALLED ON CLIMBOUT. HIT GROUND. PILOT REPORTED TO BE INTOXICATED.
5/2/1978,FL,OPA LOCKA,null,Day,null,null,null,Gear Collapse,33,305,null,null,5018,null,1,BEECH,35,null,"NOSE GEAR COLLAPSED ON ROLL OUT, CAUSE UNDETERMINED."
2/12/1979,AK,BIRCHWOOD,Hurricane,Unknown,null,null,null,Forced Landing,23,7,null,null,153,null,1,PIPER,PA28R200,null,ENGINE LOST POWER AFTER LIFTOFF. STRUCK SNOWBERM ON LANDING. FUEL STRAINER HAD LARGE AMOUNT OF ICE CRYSTALS.
5/25/1979,TX,FT WORTH,null,Day,null,null,null,Wheels - Up Landing,21,8,null,null,215,null,1,PIPER,PA24,null,LANDED GEAR UP AFTER ELECTRICAL FAILURE. FOUND GENERATOR FAULTY.
5/19/1979,NC,CLEMMONS,Hurricane,Day,Greater than 10 miles,null,Pilot/Miscellaneous Unsafe Actions,Collision With Wires-Poles,20,60,null,null,365,null,1,CESSNA,152,null,AIRCRAFT STRUCK WIRE DURING SLOW LEVEL FLIGHT.
